id,estado,kilometros,latitud,longitud,tiempoEnUso,tiempoEnPausa,idParada
7,Disponible,125,40.7128,-74.0060,12,6,1
8,EnUso,250,40.7128,-74.0050,18,4,2
9,EnMantenimiento,75,40.2128,-74.0060,7,14,3
10,Disponible,50,40.7128,-74.0060,6,8,4
11,EnUso,400,48.8566,2.3522,25,1,5
12,EnMantenimiento,30,48.8566,2.3522,3,16,6
13,Disponible,150,48.8566,2.3522,15,7,1
14,EnUso,280,48.8566,2.3522,20,3,2
15,EnMantenimiento,60,48.8566,2.3522,9,12,3
16,Disponible,85,52.5200,13.4050,10,5,4
17,EnUso,350,52.5200,13.4050,23,2,5
18,EnMantenimiento,40,52.5200,13.4050,5,18,6
19,Disponible,175,37.7749,-122.4194,17,4,1
20,EnUso,320,37.7749,-122.4194,22,1,2
21,EnMantenimiento,55,37.7749,-122.4194,11,11,3
22,Disponible,60,37.7749,-122.4194,8,7,4
23,EnUso,450,48.8566,2.3522,30,2,5
24,EnMantenimiento,50,48.8566,2.3522,6,20,6
25,Disponible,200,48.8566,2.3522,20,5,1
26,EnUso,300,41.9028,12.4964,25,2,2
27,EnMantenimiento,80,41.9028,12.4964,14,9,3
28,Disponible,75,41.9028,12.4964,12,6,4
29,EnUso,400,41.9028,12.4964,27,3,5
30,EnMantenimiento,45,41.9028,12.4964,5,15,6